company_id,company_name,industry,country
1,TechFlow Analytics,Technology,Germany
2,FinServe Global,Finance,France
3,EuroRetail Group,Retail,Netherlands
4,LogiChain Pro,Logistics,Spain
5,Apex Financial,Finance,United Kingdom
6,CloudSync SaaS,Technology,Ireland
7,Berlin BioTech,Healthcare,Germany
8,Paris Fashion Corp,Retail,France
9,Nordic Wind Power,Energy,Denmark
10,Alpina Manufacturing,Manufacturing,Austria
11,MedData Systems,Healthcare,Belgium
12,Delta Shipping,Logistics,Netherlands
13,London Trading Co,Finance,United Kingdom
14,Madrid Telco,Telecom,Spain
15,Rome Food Dist,Logistics,Italy
