deal_id,deal_name,stage,amount,created_date,closed_date,company_id,owner_id
1001,WFM Optimization Suite,Closed Won,15000,2026-01-10,2026-02-15,1,201
1002,Real-Time Analytics Dashboard,Closed Won,22000,2026-01-15,2026-03-01,2,202
1003,Enterprise Staffing Model,Proposal,35000,2026-05-01,,3,201
1004,OI Tracking Implementation,Closed Lost,18000,2026-02-20,2026-04-10,5,203
1005,Forecast Automation API,Qualification,12000,2026-05-25,,4,202
1006,Global WFM Deployment,Closed Won,45000,2026-03-10,2026-05-20,2,202
1007,Shift Bidding Module,Prospecting,8000,2026-06-01,,1,201
1008,Financial Market API Integration,Closed Won,28000,2026-01-05,2026-02-28,5,203
1009,Call Center RTA Package,Closed Won,19000,2026-04-12,2026-05-30,3,201
1010,BI Reporting Extension,Proposal,15000,2026-05-15,,4,202
1011,Workforce Intelligence Platform,Closed Lost,42000,2026-02-01,2026-03-15,6,203
1012,Predictive Scheduling App,Qualification,21000,2026-05-28,,6,203
1013,Logistics Workforce API,Closed Won,31000,2026-03-20,2026-05-10,4,202
1014,WFM Core Engine,Closed Won,32000,2026-01-20,2026-03-10,3,201
1015,Absence Management Module,Closed Lost,11000,2026-02-14,2026-04-05,7,204
1016,Real-Time Adherence API,Proposal,18500,2026-06-10,,8,205
1017,Enterprise Scheduling Matrix,Closed Won,48000,2026-03-01,2026-06-15,9,204
1018,Basic Time Tracking,Closed Won,4500,2026-04-11,2026-05-02,10,205
1019,Shift Swap Automation,Qualification,7500,2026-06-25,,11,201
1020,AI Forecasting Add-on,Prospecting,25000,2026-07-01,,12,202
1021,Retail Staffing Suite,Closed Won,55000,2026-01-05,2026-04-12,13,203
1022,Overtime Compliance Tracker,Closed Won,14000,2026-02-28,2026-04-20,14,204
1023,Payroll API Sync,Closed Lost,9500,2026-03-15,2026-05-01,15,205
1024,Intraday Management Tool,Proposal,22500,2026-06-05,,1,201
1025,Custom BI Connectors,Closed Won,8000,2026-04-01,2026-04-18,2,202
1026,Holiday Planning Portal,Qualification,6000,2026-06-20,,3,203
1027,Market Data Feed Access,Closed Won,34000,2026-01-22,2026-03-22,4,204
1028,Multi-Site WFM Rollout,Prospecting,75000,2026-07-03,,5,205
1029,Agent Performance Dashboard,Closed Won,16000,2026-03-05,2026-04-28,6,201
1030,Capacity Planning Module,Closed Lost,29000,2026-02-10,2026-05-15,7,202
1031,Cloud Infrastructure Upgrade,Proposal,41000,2026-05-12,,8,203
1032,Mobile Employee App,Closed Won,12500,2026-04-20,2026-06-05,9,204
1033,Skills-Based Routing API,Qualification,19500,2026-06-18,,10,205
1034,Financial Risk Analyzer,Closed Won,62000,2026-01-11,2026-05-05,11,201
1035,Outsourced RTA Services,Prospecting,105000,2026-07-04,,12,202
1036,Shrinkage Calculator,Closed Won,7000,2026-05-01,2026-05-25,13,203
1037,Historical Data Migration,Closed Won,11500,2026-02-05,2026-03-08,14,204
1038,Advanced Gamification,Closed Lost,17000,2026-03-30,2026-06-10,15,205
1039,Workday Integration,Proposal,26000,2026-05-20,,1,201
1040,Automated Shift Reminders,Closed Won,3500,2026-04-15,2026-04-30,2,202
1041,Call Volume Predictor,Qualification,23500,2026-06-12,,3,203
1042,Global Holiday Updater,Closed Won,4200,2026-05-10,2026-06-01,4,204
1043,Data Warehouse Expansion,Prospecting,48000,2026-07-02,,5,205
1044,Attrition Warning System,Proposal,15500,2026-06-08,,6,201
1045,Freelancer Tracking API,Closed Won,9000,2023-03-12,2026-04-15,7,202
1046,Back-Office WFM App,Closed Lost,21000,2026-01-25,2026-04-02,8,203
1047,Manager Approval Workflow,Closed Won,8500,2026-05-05,2026-06-12,9,204
1048,Omnichannel Routing Logic,Qualification,33000,2026-06-22,,10,205
1049,Remote Worker Monitor,Prospecting,14000,2026-07-04,,11,201
1050,Full Stack Analytics Audit,Closed Won,27000,2026-02-18,2026-04-25,12,202
